symbol,date,gap_type,gap_size,prev_high,prev_low,current_open
TECH,2025-01-17,up,0.92,76.31,73.67,77.01
APD,2025-01-17,up,0.74,312.2,306.3,314.5
AXON,2025-01-17,up,0.61,592.22,581.8,595.84
ANSS,2025-01-17,up,0.61,347.97,343.77,350.11
A,2025-01-17,up,0.53,145.11,140.43,145.88
BK,2025-01-15,up,3.08,76.74,75.72,79.1
BXP,2025-01-15,up,2.85,70.77,69.54,72.79
DOC,2025-01-15,up,2.77,20.24,19.97,20.8
CARR,2025-01-15,up,1.55,68.82,67.63,69.89
ANSS,2025-01-15,up,1.41,340.06,336.14,344.86
DUK,2025-01-15,up,1.14,106.88,105.61,108.1
ALL,2025-01-15,up,1.03,187.07,181.94,189.0
AXON,2025-01-15,up,0.88,584.23,569.95,589.4
AJG,2025-01-15,up,0.78,289.75,284.87,292.0
AON,2025-01-15,up,0.69,363.08,354.12,365.6
APD,2025-01-14,up,1.41,302.03,292.93,306.3
CARR,2025-01-14,up,0.82,67.34,65.27,67.89
SW,2025-01-14,up,0.67,52.18,51.33,52.53
CF,2025-01-13,up,1.69,89.16,86.01,90.67
CARR,2025-01-13,down,0.98,67.88,66.24,65.59
APD,2025-01-10,up,2.25,287.27,284.23,293.72
APA,2025-01-10,up,2.19,23.73,23.4,24.25
BXP,2025-01-10,down,0.79,70.59,68.75,68.21
A,2025-01-10,down,0.65,137.68,135.63,134.75
SW,2025-01-08,down,1.08,53.04,51.6,51.05
ALL,2025-01-08,up,0.6,187.6,184.19,188.72
CF,2025-01-07,down,0.59,90.57,89.24,88.71
APA,2025-01-06,up,1.36,23.49,23.06,23.81
CF,2025-01-06,up,0.74,88.63,86.31,89.29
BK,2025-01-06,up,0.54,77.36,76.14,77.78
APA,2025-01-02,up,0.99,23.32,22.42,23.55
CF,2025-01-02,up,0.73,85.38,84.26,86.0
BAX,2025-01-02,up,0.55,29.25,28.78,29.41
DOC,2024-12-31,up,0.55,20.02,19.7,20.13
AXON,2024-12-30,down,0.88,622.46,606.55,601.2
TECH,2024-12-30,down,0.76,73.58,72.49,71.94
BXP,2024-12-30,down,0.64,75.38,73.47,72.99
CARR,2024-12-30,down,0.51,69.92,68.54,68.19
ANSS,2024-12-27,down,0.74,341.65,339.0,336.5
DOC,2024-12-27,down,0.59,20.39,20.21,20.09
AZO,2024-12-24,up,0.53,3251.84,3198.92,3269.0
ANSS,2024-12-20,down,0.75,342.02,333.97,331.47
BAX,2024-12-19,down,0.62,29.71,28.9,28.72
APA,2024-12-17,down,1.42,22.74,21.82,21.51
CARR,2024-12-17,down,0.52,73.24,71.16,70.79
ANSS,2024-12-13,down,0.76,345.26,341.43,338.85
CF,2024-12-12,up,0.64,90.0,88.82,90.58
SW,2024-12-10,down,1.22,55.18,54.11,53.45
MMM,2024-12-10,down,0.88,133.85,131.27,130.12
AZO,2024-12-10,down,0.83,3345.28,3305.57,3278.21
TECH,2024-12-10,up,0.5,77.5,74.75,77.89
AJG,2024-12-09,down,1.14,303.43,296.39,293.0
AON,2024-12-09,down,0.64,381.82,377.25,374.85
AZO,2024-12-09,up,0.61,3313.0,3218.0,3333.25
AJG,2024-12-06,down,0.51,307.06,302.9,301.35
